YEAR,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,Nevada,Tennessee,2405
2013,Nevada,Texas,18386
2013,Nevada,Utah,10642
2013,Nevada,Virginia,1466
2013,Nevada,Washington,10798
2013,Nevada,Wisconsin,2237
2013,New Hampshire,Colorado,612
2013,New Hampshire,Florida,2322
2013,New Hampshire,Georgia,1014
2013,New Hampshire,Illinois,2371
2013,New Hampshire,Maryland,5450
2013,New Hampshire,Michigan,2235
2013,New Hampshire,Nevada,140
2013,New Hampshire,New Jersey,1735
2013,New Hampshire,North Carolina,690
2013,New Hampshire,Ohio,597
2013,New Hampshire,Pennsylvania,670
2013,New Jersey,Alaska,16
2013,New Jersey,Arizona,5443
2013,New Jersey,California,16899
2013,New Jersey,Colorado,5837
2013,New Jersey,Connecticut,880
2013,New Jersey,Florida,23863
2013,New Jersey,Georgia,11066
2013,New Jersey,Hawaii,730
2013,New Jersey,Illinois,14348
2013,New Jersey,Indiana,2655
2013,New Jersey,Iowa,819
2013,New Jersey,Kentucky,6256
2013,New Jersey,Louisiana,2373
2013,New Jersey,Maine,1540
2013,New Jersey,Maryland,1303
2013,New Jersey,Massachusetts,10681
2013,New Jersey,Michigan,7014
2013,New Jersey,Minnesota,4571
2013,New Jersey,Missouri,6411
2013,New Jersey,Montana,72
2013,New Jersey,Nebraska,1562
2013,New Jersey,Nevada,4038
2013,New Jersey,New Hampshire,1735
2013,New Jersey,New York,3031
2013,New Jersey,North Carolina,12912
2013,New Jersey,Ohio,5327
2013,New Jersey,Oklahoma,1006
2013,New Jersey,Oregon,1141
2013,New Jersey,Pennsylvania,658
2013,New Jersey,Rhode Island,742
2013,New Jersey,South Carolina,3748
2013,New Jersey,Tennessee,5967
2013,New Jersey,Texas,12489
2013,New Jersey,Utah,709
2013,New Jersey,Vermont,1856
2013,New Jersey,Virginia,6924
2013,New Jersey,Washington,3687
2013,New Jersey,Wisconsin,2553
2013,New Jersey,Wyoming,46
2013,New York,Alabama,298
2013,New York,Arizona,4598
2013,New York,California,34315
2013,New York,Colorado,5225
2013,New York,Florida,40043
2013,New York,Georgia,25058
2013,New York,Hawaii,684
2013,New York,Illinois,29559
2013,New York,Indiana,1499
2013,New York,Kentucky,2013
2013,New York,Louisiana,4278
2013,New York,Maine,2884
2013,New York,Maryland,11226
2013,New York,Massachusetts,19413
2013,New York,Michigan,19608
2013,New York,Minnesota,6647
2013,New York,Missouri,2375
2013,New York,Nevada,9564
2013,New York,New Jersey,3031
2013,New York,New Mexico,254
2013,New York,New York,10270
2013,New York,North Carolina,20051
2013,New York,Ohio,5584
2013,New York,Oregon,1566
2013,New York,Pennsylvania,3804
2013,New York,South Carolina,2272
2013,New York,Tennessee,4725
2013,New York,Texas,9134
2013,New York,Utah,4223
2013,New York,Vermont,3026
2013,New York,Virginia,15691
2013,New York,Washington,4184
2013,New York,Wisconsin,1888
2013,New York,Wyoming,4
2013,North Carolina,Alabama,2836
2013,North Carolina,Arizona,6391
2013,North Carolina,Arkansas,985
2013,North Carolina,California,6939
2013,North Carolina,Colorado,4387
2013,North Carolina,Connecticut,3940
2013,North Carolina,Florida,26436
2013,North Carolina,Georgia,34229
2013,North Carolina,Illinois,18230
2013,North Carolina,Indiana,2289
2013,North Carolina,Iowa,977
2013,North Carolina,Kentucky,4967
2013,North Carolina,Louisiana,3813
2013,North Carolina,Maine,730
2013,North Carolina,Maryland,10516
2013,North Carolina,Massachusetts,11035
2013,North Carolina,Michigan,10036
2013,North Carolina,Minnesota,4903
2013,North Carolina,Mississippi,24
2013,North Carolina,Missouri,5335
2013,North Carolina,Nebraska,1447
2013,North Carolina,Nevada,3771
2013,North Carolina,New Hampshire,690
2013,North Carolina,New Jersey,12912
2013,North Carolina,New York,20051
2013,North Carolina,North Carolina,7061
2013,North Carolina,Ohio,5760
2013,North Carolina,Oregon,459
2013,North Carolina,Pennsylvania,13681
2013,North Carolina,Rhode Island,3428
2013,North Carolina,South Carolina,6629
2013,North Carolina,Tennessee,7990
2013,North Carolina,Texas,19540
2013,North Carolina,Utah,1382
2013,North Carolina,Virginia,15091
2013,North Carolina,Washington,1835
2013,North Carolina,Wisconsin,170
